nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Albert Lebrun,1871-08-29T00:00:00Z,Mercy-le-Haut,1950-03-06T00:00:00Z,16e arrondissement de Paris,"ministre, président de la République française, coprince d'Andorre, député, Président du Sénat français, ministre de la Guerre, sénateur, ministre des Colonies"
Jules Berry,1883-02-09T00:00:00Z,Poitiers,1951-04-23T00:00:00Z,Paris,
Jean Camille Cipra,1893-04-16T00:00:00Z,Plzeň,1952-01-01T00:00:00Z,Paris,
Arthur Honegger,1924-09-27T00:00:00Z,Saint-Gall,2017-08-15T00:00:00Z,Nesslau,rédacteur en chef
Curnonsky,1872-10-12T00:00:00Z,Angers,1956-07-22T00:00:00Z,Paris,
Sacha Guitry,1885-02-21T00:00:00Z,Saint-Pétersbourg,1957-07-24T00:00:00Z,Paris,
Marcelle Meyer,1897-05-22T00:00:00Z,Lille,1958-11-17T00:00:00Z,15e arrondissement de Paris,
Boris Vian,1920-03-10T00:00:00Z,Ville-d'Avray,1959-06-22T00:00:00Z,Paris,Satrape du Collège de 'Pataphysique
Gérard Philipe,1922-12-04T00:00:00Z,Cannes,1959-11-25T00:00:00Z,Paris,
Henri Vidal,1925-08-27T00:00:00Z,,2012-03-06T00:00:00Z,,secrétaire perpétuel
Mado Robin,1918-12-29T00:00:00Z,Yzeures-sur-Creuse,1960-12-10T00:00:00Z,Paris,
Gaston Bachelard,1884-06-27T00:00:00Z,Bar-sur-Aube,1962-10-16T00:00:00Z,Paris,
